filename,latitude,longitude
DJI_20250523143633_0007.JPG,52.25557797222222,16.22494325
DJI_20250523144544_0087.JPG,52.253685555555556,16.234383472222223
DJI_20250523143606_0003.JPG,52.259024777777775,16.226566138888888
DJI_20250523144345_0070.JPG,52.242123194444446,16.225559388888886
DJI_20250523144650_0097.JPG,52.25843527777778,16.240031444444444
DJI_20250523143740_0017.JPG,52.24693691666667,16.22091763888889
DJI_20250523143852_0027.JPG,52.24451416666667,16.223212416666666
DJI_20250523143613_0004.JPG,52.258176472222225,16.22617186111111
DJI_20250523145428_0158.JPG,52.24599036111111,16.241095722222223
DJI_20250523144829_0110.JPG,52.24718683333334,16.23477288888889
DJI_20250523145504_0162.JPG,52.24253711111111,16.239468972222223
DJI_20250523144019_0040.JPG,52.255772916666665,16.22848822222222
DJI_20250523145329_0151.JPG,52.252049194444446,16.24395286111111
DJI_20250523145446_0160.JPG,52.24426613888889,16.24028761111111
DJI_20250523144424_0075.JPG,52.24330191666667,16.22951883333333
DJI_20250523144457_0080.JPG,52.247620500000004,16.23154083333333
DJI_20250523143803_0020.JPG,52.24434822222222,16.219686138888886
DJI_20250523145231_0145.JPG,52.25726186111111,16.24635838888889
DJI_20250523144046_0044.JPG,52.259235305555556,16.230105194444445
DJI_20250523145419_0157.JPG,52.24686391666667,16.241496
DJI_20250523144136_0051.JPG,52.25784488888889,16.232912305555555
DJI_20250523144150_0053.JPG,52.2561155,16.232075
DJI_20250523145031_0127.JPG,52.24554394444444,16.237444055555557
DJI_20250523145244_0146.JPG,52.256373583333335,16.245978666666666
DJI_20250523143626_0006.JPG,52.25644525,16.22535169444444
DJI_20250523145210_0142.JPG,52.25785416666667,16.243259583333334
DJI_20250523144306_0064.JPG,52.24661722222222,16.227621055555552
DJI_20250523143754_0019.JPG,52.245217833333335,16.220096638888887
DJI_20250523144430_0076.JPG,52.24415611111111,16.229919694444444
DJI_20250523143726_0015.JPG,52.24867227777778,16.2217165
DJI_20250523145111_0133.JPG,52.25074433333333,16.23988188888889
DJI_20250523144203_0055.JPG,52.254393944444445,16.231261888888888
DJI_20250523144628_0094.JPG,52.25902469444444,16.236924722222223
DJI_20250523145125_0135.JPG,52.252481555555555,16.24069536111111
DJI_20250523145530_0165.JPG,52.2399425,16.238274944444445
DJI_20250523144852_0113.JPG,52.244594472222225,16.233557555555556
DJI_20250523144759_0106.JPG,52.25062880555556,16.236386555555555
DJI_20250523144026_0041.JPG,52.256643277777776,16.228894444444443
DJI_20250523144328_0067.JPG,52.24402,16.226411499999998
DJI_20250523143959_0037.JPG,52.25316952777778,16.22726161111111
DJI_20250523144238_0060.JPG,52.25007686111111,16.229244694444443
DJI_20250523144253_0062.JPG,52.24834444444445,16.228438444444443
DJI_20250523144958_0122.JPG,52.24120886111111,16.235411250000002
DJI_20250523143700_0011.JPG,52.252125416666665,16.22332972222222
DJI_20250523143906_0029.JPG,52.246246944444444,16.224024388888886
DJI_20250523144617_0092.JPG,52.258029638888885,16.236419166666668
DJI_20250523143646_0009.JPG,52.25385555555555,16.22415372222222
DJI_20250523145220_0143.JPG,52.25759572222222,16.24471241666667
DJI_20250523144638_0095.JPG,52.25876505555556,16.238384333333336
DJI_20250523144356_0071.JPG,52.24182947222222,16.227015499999997
