index,x,y,col,row,is_interpolated
0,583742.1261808088,5790654.1579293255,1364,909,False
1,583741.7577766357,5790652.789186008,1364,911,True
2,583741.3893724625,5790651.420442692,1363,913,True
3,583741.0209682895,5790650.051699375,1363,915,True
4,583740.6525641163,5790648.6829560585,1362,916,True
5,583740.2841599432,5790647.314212741,1362,918,True
6,583739.91575577,5790645.945469425,1361,920,True
7,583739.547351597,5790644.576726108,1361,922,True
8,583739.1789474238,5790643.207982791,1360,924,True
9,583738.8105432508,5790641.839239474,1360,926,True
10,583738.4421390776,5790640.470496157,1359,927,True
11,583738.0737349045,5790639.101752841,1359,929,True
12,583737.7053307313,5790637.733009524,1358,931,True
13,583737.3369265583,5790636.364266207,1358,933,True
14,583736.9685223851,5790634.99552289,1357,935,True
15,583736.600118212,5790633.626779574,1357,937,True
16,583736.2317140389,5790632.258036257,1356,939,True
17,583735.8633098658,5790630.88929294,1356,940,True
18,583735.4949056926,5790629.520549623,1355,942,True
19,583735.1265015196,5790628.151806306,1355,944,True
20,583734.7580973464,5790626.78306299,1354,946,True
21,583734.3896931733,5790625.414319673,1354,948,True
22,583734.0212890002,5790624.045576356,1353,950,True
23,583733.6528848271,5790622.676833039,1353,952,True
24,583733.2844806539,5790621.308089722,1352,953,True
25,583732.9160764809,5790619.939346406,1352,955,True
26,583732.5476723077,5790618.5706030885,1351,957,True
27,583732.1792681346,5790617.201859772,1351,959,True
28,583731.8108639615,5790615.833116455,1350,961,True
29,583731.4424597884,5790614.464373139,1350,963,True
30,583731.0740556152,5790613.0956298215,1349,965,True
31,583730.7056514422,5790611.726886505,1349,966,True
32,583730.337247269,5790610.358143188,1348,968,True
33,583729.9688430959,5790608.989399871,1348,970,True
34,583729.6004389228,5790607.620656555,1347,972,True
35,583729.2320347497,5790606.251913237,1347,974,True
36,583728.8636305765,5790604.883169921,1346,976,True
37,583728.4952264035,5790603.514426604,1346,978,True
38,583728.1268222303,5790602.145683288,1345,979,True
39,583727.7584180572,5790600.77693997,1345,981,True
40,583727.390013884,5790599.408196653,1344,983,True
41,583727.021609711,5790598.039453337,1344,985,True
42,583726.6532055378,5790596.67071002,1343,987,True
43,583726.2848013648,5790595.3019667035,1343,989,True
44,583725.9163971916,5790593.933223386,1342,991,True
45,583725.5479930185,5790592.56448007,1342,992,True
46,583725.1795888453,5790591.195736753,1341,994,True
47,583724.8111846723,5790589.826993437,1341,996,True
48,583724.4427804991,5790588.458250119,1340,998,True
49,583724.074376326,5790587.089506802,1340,1000,True
50,583723.7059721529,5790585.720763486,1339,1002,True
51,583723.3375679798,5790584.352020169,1339,1004,True
52,583722.9691638066,5790582.983276852,1338,1005,True
53,583722.6007596336,5790581.614533535,1338,1007,True
54,583722.2323554604,5790580.245790219,1337,1009,True
55,583721.8639512873,5790578.877046902,1337,1011,True
56,583721.4955471142,5790577.5083035845,1336,1013,True
57,583721.1271429411,5790576.139560268,1336,1015,True
58,583720.7587387679,5790574.770816951,1335,1017,True
59,583720.3903345949,5790573.402073635,1335,1018,True
60,583720.0219304217,5790572.033330318,1334,1020,True
61,583719.6535262486,5790570.664587001,1334,1022,True
62,583719.2851220755,5790569.295843684,1333,1024,True
63,583718.9167179024,5790567.927100368,1333,1026,True
64,583718.5483137292,5790566.558357051,1332,1028,True
65,583718.1799095562,5790565.189613733,1332,1029,True
66,583717.811505383,5790563.820870417,1331,1031,True
67,583717.4431012099,5790562.4521271,1331,1033,True
68,583717.0746970368,5790561.083383784,1331,1035,True
69,583716.7062928637,5790559.7146404665,1330,1037,True
70,583716.3378886905,5790558.34589715,1330,1039,True
71,583715.9694845175,5790556.977153833,1329,1041,False
72,583715.6129720138,5790555.641868445,1329,1042,True
73,583715.2564595101,5790554.306583057,1328,1044,True
74,583714.8999470063,5790552.971297668,1328,1046,True
75,583714.5434345026,5790551.63601228,1327,1048,True
76,583714.1869219989,5790550.300726892,1327,1050,True
77,583713.8304094952,5790548.9654415045,1326,1051,True
78,583713.4738969913,5790547.630156117,1326,1053,True
79,583713.1173844876,5790546.294870728,1325,1055,True
80,583712.760871984,5790544.95958534,1325,1057,True
81,583712.4043594802,5790543.624299952,1324,1059,True
82,583712.0478469766,5790542.289014564,1324,1061,True
83,583711.6913344727,5790540.953729176,1323,1062,True
84,583711.334821969,5790539.618443787,1323,1064,True
85,583710.9783094653,5790538.283158399,1322,1066,True
86,583710.6217969616,5790536.947873011,1322,1068,True
87,583710.2652844578,5790535.612587623,1321,1070,True
88,583709.9087719541,5790534.277302235,1321,1071,True
89,583709.5522594504,5790532.9420168465,1320,1073,True
90,583709.1957469467,5790531.606731459,1320,1075,True
91,583708.8392344429,5790530.271446071,1319,1077,True
92,583708.4827219392,5790528.936160683,1319,1079,True
93,583708.1262094355,5790527.600875295,1318,1080,True
94,583707.7696969318,5790526.265589906,1318,1082,True
95,583707.4131844281,5790524.930304518,1317,1084,True
96,583707.0566719243,5790523.59501913,1317,1086,True
97,583706.7001594206,5790522.259733742,1316,1088,True
98,583706.3436469169,5790520.924448354,1316,1089,True
99,583705.9871344132,5790519.589162965,1315,1091,True
100,583705.6306219094,5790518.253877577,1315,1093,True
101,583705.2741094057,5790516.918592189,1315,1095,True
102,583704.917596902,5790515.5833068015,1314,1097,True
103,583704.5610843983,5790514.248021414,1314,1098,True
104,583704.2045718946,5790512.912736025,1313,1100,True
105,583703.8480593908,5790511.577450637,1313,1102,True
106,583703.4915468871,5790510.242165249,1312,1104,True
